,match_key,id,url,date,kickoff,venue,attendance,league,season,id_x,team_x,id_y,team_y,manager_x,manager_y,captain_x,captain_id_x,captain_y,captain_id_y,score_x,score_y,xg_x,xg_y
0,0,b13970b2,/en/matches/b13970b2/Bayern-Munich-Bayer-Leverkusen-August-18-2017-Bundesliga,2017-08-18,20:30,"Allianz Arena, München",75000,Bundesliga,17/18,054efa67,Bayern Munich,c7a9f859,Bayer Leverkusen,Carlo Ancelotti,Heiko Herrlich,/en/players/3c6089ab/Thomas-Muller,3c6089ab,/en/players/2628fd2b/Bernd-Leno,2628fd2b,3,1,2.5,2.1
1,1,7fa19f7c,/en/matches/7fa19f7c/Hoffenheim-Werder-Bremen-August-19-2017-Bundesliga,2017-08-19,15:30,"Dietmar-Hopp-Stadion, Sinsheim",30150,Bundesliga,17/18,033ea6b8,Hoffenheim,62add3bf,Werder Bremen,Julian Nagelsmann,Alexander Nouri,/en/players/1d8e9add/Kevin-Vogt,1d8e9add,/en/players/fe641c1a/Thomas-Delaney,fe641c1a,1,0,1.2,1.0
2,2,09cec3e9,/en/matches/09cec3e9/Mainz-05-Hannover-96-August-19-2017-Bundesliga,2017-08-19,15:30,"Opel Arena, Mainz",28279,Bundesliga,17/18,a224b06a,Mainz 05,60b5e41f,Hannover 96,Sandro Schwarz,André Breitenreiter,/en/players/857a5abe/Stefan-Bell,857a5abe,/en/players/73e2f6eb/Philipp-Tschauner,73e2f6eb,0,1,0.9,0.7
3,3,10673af1,/en/matches/10673af1/Wolfsburg-Dortmund-August-19-2017-Bundesliga,2017-08-19,15:30,"Volkswagen Arena, Wolfsburg",30000,Bundesliga,17/18,4eaa11d7,Wolfsburg,add600ae,Dortmund,Andries Jonker,Peter Bosz,/en/players/71a20ce8/Mario-Gomez,71a20ce8,/en/players/b682dcf6/Sokratis-Papastathopoulos,b682dcf6,0,3,0.5,1.1
4,4,f65cd7dc,/en/matches/f65cd7dc/Hamburger-SV-Augsburg-August-19-2017-Bundesliga,2017-08-19,15:30,"Volksparkstadion, Hamburg",49449,Bundesliga,17/18,26790c6a,Hamburger SV,0cdc4311,Augsburg,Markus Gisdol,Manuel Baum,/en/players/931b7c30/Kyriakos-Papadopoulos,931b7c30,/en/players/f261abcb/Daniel-Baier,f261abcb,1,0,0.7,0.6
5,5,0339770e,/en/matches/0339770e/Hertha-BSC-Stuttgart-August-19-2017-Bundesliga,2017-08-19,15:30,"Olympiastadion Berlin, Berlin",44751,Bundesliga,17/18,2818f8bc,Hertha BSC,598bc722,Stuttgart,Pál Dárdai,Hannes Wolf,/en/players/c3fd9887/Vedad-Ibisevic,c3fd9887,/en/players/a4f94a0d/Christian-Gentner,a4f94a0d,2,0,0.7,1.2
6,6,c516f9b3,/en/matches/c516f9b3/Schalke-04-RB-Leipzig-August-19-2017-Bundesliga,2017-08-19,18:30,"Veltins-Arena, Gelsenkirchen",61435,Bundesliga,17/18,c539e393,Schalke 04,acbb6a5b,RB Leipzig,Domenico Tedesco ,Ralph Hasenhüttl,/en/players/1e43fad8/Ralf-Fahrmann,1e43fad8,/en/players/20030c06/Willi-Orban,20030c06,2,0,1.6,0.9
7,7,a3858878,/en/matches/a3858878/Freiburg-Eintracht-Frankfurt-August-20-2017-Bundesliga,2017-08-20,15:30,"Schwarzwald-Stadion, Freiburg",24000,Bundesliga,17/18,a486e511,Freiburg,f0ac8ee6,Eintracht Frankfurt,Christian Streich,Niko Kovač,/en/players/d0421d25/Julian-Schuster,d0421d25,/en/players/565bf0da/David-Abraham,565bf0da,0,0,0.2,1.3
8,8,4fbf64fe,/en/matches/4fbf64fe/Monchengladbach-Koln-August-20-2017-Bundesliga,2017-08-20,18:00,"Stadion im Borussia-Park, Mönchengladbach",54018,Bundesliga,17/18,32f3ee20,Mönchengladbach,bc357bf7,Köln,Dieter Hecking,Peter Stöger,/en/players/7cd6badb/Lars-Stindl,7cd6badb,/en/players/abb42ce6/Matthias-Lehmann,abb42ce6,1,0,1.5,1.0
9,9,4fc1a614,/en/matches/4fc1a614/Koln-Hamburger-SV-August-25-2017-Bundesliga,2017-08-25,20:30,"RheinEnergieSTADION, Köln",50000,Bundesliga,17/18,bc357bf7,Köln,26790c6a,Hamburger SV,Peter Stöger,Markus Gisdol,/en/players/abb42ce6/Matthias-Lehmann,abb42ce6,/en/players/931b7c30/Kyriakos-Papadopoulos,931b7c30,1,3,2.3,1.7
